,Title,Poem,Poet,Tags
11,"
                    On Being a Grid One Might Go Off Of
                ","
The first step is to stop just beyond the weight of organs.
The sense of gravity sitting in tissue is like the space between
carcass and curb, before the reek worms into rock pores:
a sleeplessness there, that continual niche-trash. You too
 
once knew what it was to feel impressive. As the bed dissolves
into the walls, the walls disrobe themselves of their edges
and your resolve is now acute in the locking jaw of darkness.
Beg to be let. You, like bravery, leave behind the breath-inflated
 
lump, its depths, and its refusal to lace the cells of scars over even
the metaphorical guttings. To manage the act exceeds the box-
and-whisker of lately’s along-going. You’ve grown so accustomed
to mereness that what you call a life no longer houses the sublime.
 
It seems easy to leave. It seems this easy to leave. After
a second you’ll want to consider the centimeters of resistance
stitching air between here and all of elsewhere. But, still,
inhabit the bodiless second. To possess it is a bearable joy.
",Justin Phillip Reed,"Living,Death,Life Choices,The Body,The Mind"
12,"
                    Carolina Prayer
                ","
Let the blood if your belly must have it, but let it
not be of me and mine. Let my momma sleep.
Let her pray. Let them eat. Let the reverend’s
devil pass over me. Let the odds at least
acknowledge us. Let the breasts be intact,
the insulin faithfully not far, and let the deep
red pinpoint puddle its urgency on a pricked
fingertip. Let the nurse find the vein the first time.
 
Let the kerosene flow and let my grandma praise
her bedside lord for letting her miss another winter.
Let me be just a little bit bitter so I remember:
Your columns and borders aint but the fractured,
the broke clean, the brownest gouges in the blades
of our great-great-great-shoulders. Let me leave
and come back when my chest opens for you wider
than your ditches did to engorge my placeless body.
 
The mosquito-thick breath in your throat coats my skin
and it almost feels as if you love me. Let the AC
drown out the TV. Let the lotion bottle keep a secret
corner til Friday. Let Ike, Wan, D-Block, all my brother’s
brothers ride through the weekend. Let the cop car
swerve its nose into night and not see none of them.
Let us smell rain. Let the breeze through an oak hymn
the promise that keeps us waking. Let the cicada
unwind while hushpuppy steam slips out the knot
of a tourist’s hand, and let him hear in it legends
of how hot grease kept the hounds and the lash at bay.
 
",Justin Phillip Reed,"Relationships,Family & Ancestors,Friends & Enemies,Religion,The Spiritual,Social Commentaries,History & Politics,Race & Ethnicity"
13,"
                    Tagus, Farewell
                ","
Tagus, farewell, that westward, with thy streams,
Turns up the grains of gold already tried,
With spur and sail for I go seek the Thames,
Gainward the sun that show'th her wealthy pride,
And to the town which Brutus sought by dreams,
Like bended moon doth lend her lusty side.
My King, my Country, alone for whom I live,
Of mighty love the wings for this me give.
",Sir  Thomas Wyatt,
14,"
                    As If the Trees By Their Very Roots Had Hold of Us
                ","
Strange to remember a visit, really not so
Long ago, which now seems, finally, past.   Always, it’s a
Kind of obvious thing I guess, amazed by that
Cycle: that first you anticipate a thing & it seems
Far off, the distance has a weight you can feel
Hanging on you, & then it’s there – that
Point – whatever – which, now, while
It’s happening seems to be constantly slipping away,
“Like the sand through your fingers in an old movie,” until
You can only look back on it, & yet you’re still there, staring
At your thoughts in the window of the fire you find yourself before.
We’ve gone over this a thousand times: & here again, combing that
Same section of beach or inseam for that – I’m no
Longer sure when or exactly where – “& yet” the peering,
Unrewarding as it is, in terms of tangible results,
Seems so necessary.
 
Hope, which is, after all, no more than a splint of thought
Projected outwards, “looking to catch” somewhere –
What can I say here? – that the ease or
Difficulty of such memories doesn’t preclude
“That harsher necessity” of going on always in
A new place, under different circumstances:
& yet we don’t seem to have changed, it’s
As if these years that have gone by are
All a matter of record, “but if the real
Facts were known” we were still reeling from
What seems to have just happened, but which,
“By the accountant’s keeping” occurred years.
Ago.   Years ago.   It hardly seems possible,
So little, really, has happened.
 
We shore ourselves hour by hour
In anticipation that soon there will be
Nothing to do.   “Pack a sandwich
& let’s eat later.”   And of course,
The anticipation is quite appropriate, accounting,
For the most part, for whatever activity
We do manage.    Eternally buzzing over the time,
Unable to live in it…
 
“Maybe if we go upaways we can get a better
View.”   But, of course, in that sense, views don’t
Improve.   “In the present moment” (if we could only see
It, which is to say, to begin with, stop looking with
Such anticipation) what is enfolding before us puts to
Rest any necessity for “progression”.
 
So, more of these tracings, as if by some magic
Of the phonetic properties of these squiggles…   Or
Does that only mystify the “power” of “presence"" which
Is, as well, a sort of postponement. 
 
",Charles Bernstein,"Living,The Mind,Time & Brevity"
15,"
                    $6.82
                ","
My economy is circular: I earn money from an institution that owns most of
the businesses where I tend to spend most of my money.
 
My economy is quasi-medieval, trade-centered, and guild-like.
 
My economy is not canonical.
 
My economy is a misfortune that recently befell me.
 
My economy admits foundational narratives.
 
My economy is language.
 
My economy is the executioner’s reversal of fortune.
 
My economy has no essential features.
 
My economy admits parallax critiques of ideology.
 
My economy owes something to over 4,136 dead soldiers.
 
My economy does not intimate and would rather not split hairs about what
belongs to whom.
 
My economy can’t stay out of things, but can’t make it into the thick of
things either.
 
My economy has questionable purchasing power.
 
My economy has no surrogate.
 
My economy has no interpretative skills but is rife with interpretative communi-
ties.
 
My economy is of trees chopped down in Brooklyn, and the gradual encir-
cling of brick.
 
My economy is the new red.
 
My economy thrives on shades of gray.
 
My economy is an unremarkable tuna sandwich that is missing the slices of
tomato that I had asked for.
 
My economy is a liter bottle of Poland Spring water coming not from
Poland but from Maine and bought at a university cafeteria in Uptown
Manhattan where there are quite a number of water foundations that deliver
water with a funky metallic aftertaste.
 
My economy is a poem called “First Purchase of the Month” consisting of
two stanzas with six eight-word lines each within a larger poem that could
be endless but won’t be:
 
                                 Could’ve been an outfit for the Whitney Biennial
                                  
                                 Couldn’t afford one, nor did I need it.
 
                                 Who cares how you look at the zoo;
 
                                 it’s about the animals, stupid. Which reminds me,
 
                                 could’ve been the trail mix I snacked on
 
                                 & which I managed not to purchase myself.
  
 
                                 It was tuna on whole wheat, lettuce, jalapeños;
 
                                 a one liter bottle of water (Poland Spring.)
 
                                 Asked for tomato too, which the lady forgot.
 
                                 You Puerto Rican, she asked? Don’t think so,
 
                                 said another one in Spanish. Let me answer.
 
                                 No, what made you think so? The peppers?
 
 
My economy needs contractions and abbreviations.
 
My economy is not fixed.
 
My economy is broken, mispronounced.
 
My economy has cold feet, even if there are plenty of socks at home.
 
My economy would like to be wholesome and sound.
 
My economy is a gift certificate that is not enough for what I’d like to have,
so I end up spending money at a store that I dislike in the first place and
will never visit again.
 
My economy is a business lunch where I end up paying the bill instead of
the person who’d like me to work with her.
 
My economy consists of performing tasks for which I receive no quantifi-
able pay.
 
My economy grows when it’s enough to buy someone else a drink, or a
meal.
 
My economy does not allow me to say no.
 
My economy pretends to be booming, but instead, is shaky and imploding.
 
It doesn’t matter, because my economy is predicated on virtue, and it posits
that it’s purer than yours.
 
My economy has no exchange value.
 
I’d like to think of my economy as one of resistance and tactical difference.
 
My economy is not a disposable good.
 
There are no surpluses in my economy.
 
I already owe what I just wrote.
 
My economy is derivative, parasitical, and residual.
 
My economy is a hand-me-down.
 
My economy is not environmentally friendly, although it’s not ravaging
non-renewable resources either.
 
My economy doesn’t force me to put my money where my mouth is. Were I
to pay for what I say, it would be a different story.
 
Thirteen cents a word is not fair trade.
 
My economy mistakes what it means to trade in futures.
 
In theory my economy is not the result of deliberate choice, it is makeshift
and a tag-along.
 
My economy has double standards.
 
My economy has attention deficit disorder.
 
My economy is the symptom of an incurable disease.
 
My economy is not even mine.
 
 
Word count: 682
 
",Mónica de la Torre,"Social Commentaries,History & Politics,Money & Economics"
16,"
                    Sanctuary
                ","
The tide pool crumples like a woman
into the smallest version of herself,
bleeding onto whatever touches her.
 
The ocean, I mean, not a woman, filled
with plastic lace, and closer to the vanishing
point, something brown breaks  the surface—human,
 
maybe, a hand or foot or an island
of trash—but no, it’s just a garden of kelp.
A wild life.
 
This is a prayer like the sea
urchin is a prayer, like the sea
star is a prayer, like the otter and cucumber—
 
as if I know what prayer means. 
 
I call this the difficulty of the non-believer,
or, put another way, waking, every morning, without a god. 
 
How to understand, then, what deserves rescue
and what deserves to suffer.
 
Who.
 
Or should I say, what must
be sheltered and what abandoned. 
 
Who.
 
I might ask you to imagine a young girl,
no older than ten but also no younger,
on a field trip to a rescue. Can you 
  see her? She is lead to the gates that separate
the wounded sea lions from their home and the class.
How the girl wishes this measure of salvation for herself:
 
to claim her own barking voice, to revel
in her own scent and sleek brown body, her fingers
woven into the cyclone fence.
 
",Donika Kelly,"Nature,Animals,Seas, Rivers, & Streams,Religion,Faith & Doubt,Social Commentaries,Gender & Sexuality,History & Politics,Race & Ethnicity"
17,"
                    Bitch Is a Word I Hear A Lot
                ","
I hate the word, and I guess that’s why it is said?
People love to hurt one another.
It is what makes us human.
I do love dogs.
They don’t seem to be evil unless humans make them that way.
Dogs can maul and they can sniff out bombs.
They’ll get as close to you as they can while you’re sleeping.
They’ll share heat and scent in the crook of your knees.
Is there really a thing such as innocence?
I have desired from birth to live.
Daily, I wrestle the tight arms of guilt.
At the shelter, the adoption coach told us that our new dog was highly food motivated.
I have been called a bitch.
Our dog trembles when he’s afraid and the only thing we can do is wait for the fear to leave.
There’s no comforting him.
In a dream they held me down, scrawled BITCH across my chest in old embers.
They covered my head as a weapon was raised.
I had a dog who once kept me from walking into the arroyo.
She blocked my path and wouldn’t move.
I’ll never know what, or who, she saved me from.
 
",Kim Parko,"Relationships,Pets,Social Commentaries,Gender & Sexuality"
18,"
                    Vow
                ","
It will be windy for a while until it isn’t. The waves will shoal. A red-legged
cormorant will trace her double along glassy water, forgetting they are hungry.
The sea will play this motif over and over, but there will be no preparing for it
otherwise. Water will quiver in driftwood. Sound preceding absence,
a white dog trailing a smaller one: ghost and noon shadow, two motes
disappearing into surf. And when the low tide comes lapping and clear, the curled
fronds of seaweed will furl and splay, their algal sisters brushing strands
against sands where littleneck clams feed underwater. Light rain will fall
and one cannot help but lean into the uncertainty of the sea. Bow: a knot
of two loops, two loose ends, our bodies on either side of this shore where we
will dip our hands to feel what can’t be seen. Horseshoe crabs whose blue
blood rich in copper will reach for cover, hinged between clouds and
sea. It will never be enough, the bull kelp like a whip coiling in tender hands,
hands who know to take or be taken, but take nothing with them: I will marry you.
I will marry you. So we can owe what we own to every beautiful thing.
 
",Diana Khoi Nguyen,"Living,Marriage & Companionship,Love,Romantic Love,Nature,Seas, Rivers, & Streams"
19,"
                    Chase Scene
                ","
at night you stumble, dreaming
cross-eyed of a chase scene
three yellow wasps on your chest
the city you turned around in
a chase that quickly lands into a fight
 
the nagging anxiety of a stain somewhere
a tickle at the back of the throat
a song’s bridge playing over and over in the head
maybe the stain is at the bottom of your lung
maybe this white crusting along the edge of the bed
 
I lay an icepack on your head
one of the old ones that look like a lazy waterdrop
unable to pop, I’m waiting for a more complete
courage, a peeled orange, a halogen lamp
 
believe it or not, we’re recreating someone
from the 19th century’s sin, by proceeding
mounted on the edge of our bed like
a permanent display, matching burdens
to caramels
 
the thin plant over the dresser is belonging here
you picture yourself with pedals removed
and ask why you were not born gracious
I do a different dance in the same mirror
 
in the ultra-rendering of these buildings
I could snap my fingers
and every window would close
an accordion we accompany
 
",Gabriel Ojeda-Sagué,"Living,The Mind"
20,"
                    Seventeen Funerals
                ","
Seventeen suns rising in seventeen bedroom windows. Thirty-four eyes blooming open with the light of one more morning. Seventeen reflections in the bathroom mirror. Seventeen backpacks or briefcases stuffed with textbooks or lesson plans. Seventeen good mornings at kitchen breakfasts and seventeen goodbyes at front doors. Seventeen drives through palm-lined streets and miles of crammed highways to Marjory Stoneman Douglas High School at 5901 Pine Island Road. The first bell ringing-in one last school day on February fourteenth, 2018. Seventeen echoes of footsteps down hallways for five class periods: algebra, poetry, biology, art, history. Seventeen hands writing on whiteboards or taking notes at their desks until the first gunshot at 2:21pm. One AR-15 rifle in the hands of a nineteen year old mind turning hate for himself into hate for others, into one-hundred fifty bullets fired in six minutes through building number twelve. Seventeen dead carried down hallways they walked, past cases of trophies they won, flyers for clubs they belonged to, lockers they won’t open again. Seventeen Valentine’s Day dates broken and cards unopened. Seventeen bodies to identify, dozens of photo albums to page through and remember their lives. Seventeen caskets and burial garments to choose for them. Seventeen funerals to attend in twelve days. Seventeen graves dug and headstones placed—all marked with the same date of death. Seventeen names: Alyssa. Helena. Scott. Martin—seventeen absentees forever—Nicholas. Aaron. Jamie. Luke—seventeen closets to clear out—Christopher. Cara. Gina. Joaquin—seventeen empty beds—Alaina. Meadow. Alex. Carmen. Peter—seventeen reasons to rebel with the hope these will be the last seventeen to be taken by one of three-hundred-ninety-three-million guns in America.
",Richard Blanco,"Living,Death,Sorrow & Grieving,Youth,Social Commentaries,Crime & Punishment"
21,"
                    Six Quatrains
                ","
     AUTUMN 
gold of amber
red of ember
brown of umber
all September
       MCCOY CREEK
 
Over the bright shallows
now no flights of swallows.
Leaves of the sheltering willow
dangle thin and yellow.
 
     OCTOBER
 
At four in the morning the west wind
moved in the leaves of the beech tree
with a long rush and patter of water,
first wave of the dark tide coming in.
 
     SOLSTICE
 
On the longest night of all the year
in the forests up the hill,
the little owl spoke soft and clear
to bid the night be longer still.
 
     THE WINDS OF MAY
 
are soft and restless
in their leafy garments
that rustle and sway
making every moment movement.
 
     HAIL
 
The dogwood cowered under the thunder
and the lilacs burned like light itself
against the storm-black sky until the hail
whitened the grass with petals.
 
 
",Ursula K. Le Guin,"Living,Time & Brevity,Nature,Fall,Landscapes & Pastorals,Spring,Winter"
22,"
                    Hyperparasites
                ","
Bibiana: At night I dreamt that I belonged to a basement-flock of girls just as  terrified and feverish as me. We could communicate with each other by knocking on the walls. 
 
",Aase Berg,"Social Commentaries,Crime & Punishment,Gender & Sexuality"
23,"
                    Stalkers
                ","
Bibiana: Wanting to get close to one’s abuser is no sickness. Wanting to create
a cocoon of normalcy when one is subjected to a crime is no syndrome.",Aase Berg,"Living,The Mind,Social Commentaries,Crime & Punishment,Gender & Sexuality"
